Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,round,year,institute,type
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,9106,13018,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),18286,20788,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1755,1975,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),3122,3308,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3573,4796,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),7450,8530,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1680,2485,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),4031,4172,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,651,867,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1521,1626,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2372,3404,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),4130,6717,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Female-only (including Supernumerary),197,197,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,361,415,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1025,1025,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,750,1220,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),2107,2661,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,31,31,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,382,596,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1279,1313,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC (PwD),Gender-Neutral,30P,30P,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,200,342,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),546,649,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,5017,6505,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),12140,14060,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,262P,262P,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1003,1120,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2194,2249,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1557,2710,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),4170,6491,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1105,1606,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2081,2081,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,667,778,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1079,1079,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,3464,4798,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),8187,9239,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,59,59,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,601,650,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1431,1431,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1000,1955,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),3327,3729,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,914,1206,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1773,1915,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,384,538,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),910,910,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,9435,9974,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),17730,17730,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1368,1497,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3136,3779,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),8720,9267,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,2045,2104,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),4096,4096,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1160,1160,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,7135,9362,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),14537,18217,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,172,172,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1225,1448,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2705,2781,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,2863,3687,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),6933,7759,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1674,2089,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2465,3892,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,918,987,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1735,1735,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,10181,13429,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),18582,20995,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1966,2170,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),3242,3242,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,4583,4958,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),8551,8551,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,2332,2611,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),4396,4396,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1011,1202,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),218P,330P,1,2024,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,585,2388,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),2494,6360,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,44,44,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Female-only (including Supernumerary),41P,41P,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,327,586,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1050,1409,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,447,1448,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),1935,3207,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,62,62,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,136,658,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),803,1493,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,184,471,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),424,424,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,631,1191,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),4101,4101,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OPEN (PwD),Gender-Neutral,139,139,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,360,360,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,EWS,Female-only (including Supernumerary),1490,1490,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,994,1155,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),3479,3479,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,521,545,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,SC,Female-only (including Supernumerary),1438,1438,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,247,247,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,650,2507,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),4559,6650,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,130,153,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Female-only (including Supernumerary),265P,265P,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,378,474,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),927,1438,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,EWS (PwD),Gender-Neutral,44P,44P,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,953,1307,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),1985,2934,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,64,64,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,492,777,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1123,1498,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,301,413,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),344,742,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,5268,6969,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),9692,11262,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OPEN (PwD),Gender-Neutral,193,193,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,1175,1338,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,EWS,Female-only (including Supernumerary),2285,2285,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,2644,3256,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),7383,7570,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,1688,1861,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,SC,Female-only (including Supernumerary),3101,3101,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,993,1007,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,ST,Female-only (including Supernumerary),1498,1498,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2244,3986,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),6334,8729,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,142,151,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Female-only (including Supernumerary),148P,148P,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,559,708,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1725,1941,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS (PwD),Gender-Neutral,36P,36P,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1076,1918,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),3419,4709,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,50P,53P,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,580,980,1,2024,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),770,1986,1,2024,Indian Institute of Technology Bombay,IIT
